county,constituency,name,color,pop,county_name,q,r,id
008,01,南投縣第01選區,國民黨,53.57,南投縣,1,1,1
008,02,南投縣第02選區,國民黨,54.83,南投縣,2,1,2
020,01,嘉義市第01選區,民進黨,50.2,嘉義市,1,2,3
010,01,嘉義縣第01選區,民進黨,57.55,嘉義縣,1,3,4
010,02,嘉義縣第02選區,民進黨,46.14,嘉義縣,2,3,5
017,01,基隆市第01選區,民進黨,47.29,基隆市,1,4,6
002,01,宜蘭縣第01選區,民進黨,46.23,宜蘭縣,1,5,7
013,01,屏東縣第01選區,民進黨,49.55,屏東縣,1,6,8
013,02,屏東縣第02選區,其他,46.98,屏東縣,2,6,9
007,01,彰化縣第01選區,民進黨,52.03,彰化縣,1,7,10
007,02,彰化縣第02選區,民進黨,45.11,彰化縣,2,7,11
007,03,彰化縣第03選區,國民黨,51.15,彰化縣,3,7,12
007,04,彰化縣第04選區,民進黨,53.42,彰化縣,4,7,13
000,01,新北市第01選區,國民黨,46.4,新北市,1,8,14
000,02,新北市第02選區,民進黨,62.37,新北市,2,8,15
000,03,新北市第03選區,民進黨,45.77,新北市,3,8,16
000,04,新北市第04選區,民進黨,55.13,新北市,4,8,17
000,05,新北市第05選區,民進黨,57.1,新北市,5,8,18
000,06,新北市第06選區,民進黨,54.35,新北市,6,8,19
000,07,新北市第07選區,民進黨,46.95,新北市,7,8,20
000,08,新北市第08選區,民進黨,47.22,新北市,8,8,21
000,09,新北市第09選區,國民黨,56.41,新北市,9,8,22
000,10,新北市第10選區,民進黨,44.77,新北市,10,8,23
000,11,新北市第11選區,國民黨,58.37,新北市,11,8,24
000,12,新北市第12選區,民進黨,45.36,新北市,12,8,25
018,01,新竹市第01選區,國民黨,36.97,新竹市,1,9,26
004,01,新竹縣第01選區,國民黨,49.88,新竹縣,1,10,27
004,02,新竹縣第02選區,國民黨,36.17,新竹縣,2,10,28
000,01,桃園市第01選區,民進黨,46.12,桃園市,1,11,29
000,02,桃園市第02選區,民進黨,51.64,桃園市,2,11,30
000,03,桃園市第03選區,國民黨,47.46,桃園市,3,11,31
000,04,桃園市第04選區,國民黨,49.11,桃園市,4,11,32
000,05,桃園市第05選區,國民黨,46.72,桃園市,5,11,33
000,06,桃園市第06選區,其他,58.44,桃園市,6,11,34
016,01,澎湖縣第01選區,民進黨,53.77,澎湖縣,1,12,35
000,01,臺中市第01選區,民進黨,66.69,臺中市,1,13,36
000,02,臺中市第02選區,其他,51.15,臺中市,2,13,37
000,03,臺中市第03選區,國民黨,46.29,臺中市,3,13,38
000,04,臺中市第04選區,民進黨,50.9,臺中市,4,13,39
000,05,臺中市第05選區,民進黨,44.63,臺中市,5,13,40
000,06,臺中市第06選區,民進黨,55.91,臺中市,6,13,41
000,07,臺中市第07選區,民進黨,63.3,臺中市,7,13,42
000,08,臺中市第08選區,國民黨,59.03,臺中市,8,13,43
000,01,臺北市第01選區,民進黨,52.12,臺北市,1,14,44
000,02,臺北市第02選區,民進黨,62.87,臺北市,2,14,45
000,03,臺北市第03選區,國民黨,51.44,臺北市,3,14,46
000,04,臺北市第04選區,民進黨,50.12,臺北市,4,14,47
000,05,臺北市第05選區,其他,44.91,臺北市,5,14,48
000,06,臺北市第06選區,國民黨,52.41,臺北市,6,14,49
000,07,臺北市第07選區,國民黨,46.28,臺北市,7,14,50
000,08,臺北市第08選區,國民黨,49.98,臺北市,8,14,51
000,01,臺南市第01選區,民進黨,55.64,臺南市,1,15,52
000,02,臺南市第02選區,民進黨,63.96,臺南市,2,15,53
000,03,臺南市第03選區,民進黨,69.77,臺南市,3,15,54
000,04,臺南市第04選區,民進黨,59.11,臺南市,4,15,55
000,05,臺南市第05選區,民進黨,55.41,臺南市,5,15,56
000,06,臺南市第06選區,民進黨,58.85,臺南市,6,15,57
014,01,臺東縣第01選區,民進黨,53.09,臺東縣,1,16,58
015,01,花蓮縣第01選區,其他,45.97,花蓮縣,1,17,59
005,01,苗栗縣第01選區,國民黨,49.07,苗栗縣,1,18,60
005,02,苗栗縣第02選區,國民黨,54.13,苗栗縣,2,18,61
007,01,連江縣第01選區,國民黨,48.97,連江縣,1,19,62
020,01,金門縣第01選區,國民黨,46.64,金門縣,1,20,63
009,01,雲林縣第01選區,民進黨,50.61,雲林縣,1,21,64
009,02,雲林縣第02選區,民進黨,57.3,雲林縣,2,21,65
000,01,高雄市第01選區,民進黨,55.92,高雄市,1,22,66
000,02,高雄市第02選區,民進黨,63.17,高雄市,2,22,67
000,03,高雄市第03選區,民進黨,43.75,高雄市,3,22,68
000,04,高雄市第04選區,民進黨,60.03,高雄市,4,22,69
000,05,高雄市第05選區,民進黨,52.27,高雄市,5,22,70
000,06,高雄市第06選區,民進黨,52.94,高雄市,6,22,71
000,07,高雄市第07選區,民進黨,51.1,高雄市,7,22,72
000,08,高雄市第08選區,民進黨,57.73,高雄市,8,22,73
