week,iso,id,showId,category,rank,weeksInTopTen,showName,seasonName
20221218,TW,81511779,81511779,films,1,2,Bullet Train,Bullet Train
20221218,TW,81199140,81199140,films,2,2,Uncharted,Uncharted
20221218,TW,81645126,81645126,films,3,1,Hidden Man,Hidden Man
20221218,TW,81643809,81643809,films,4,1,Home Sweet Home,Home Sweet Home
20221218,TW,81245455,81245455,films,5,3,Troll,Troll
20221218,TW,17405997,17405997,films,6,1,Good Will Hunting,Good Will Hunting
20221218,TW,81476441,81476441,films,7,3,Lady Chatterley's Lover,Lady Chatterley's Lover
20221218,TW,70299544,70299544,films,8,1,Miss Granny,Miss Granny
20221218,TW,81344253,81344253,films,9,1,The Big 4,The Big 4
20221218,TW,80218455,80218455,films,10,1,Guillermo del Toro’s Pinocchio,Guillermo del Toro’s Pinocchio
20221218,TW,81137510,81137509,tv,1,4,First Love,Season 1
20221218,TW,81231975,81231974,tv,2,4,Wednesday,Season 1
20221218,TW,81631125,81631111,tv,3,1,The Imperial Age,Season 1
20221218,TW,81610894,81610893,tv,4,9,Under the Queen's Umbrella,Season 1
20221218,TW,81631341,81631340,tv,5,3,Master of My Own,Season 1
20221218,TW,81284013,80997343,tv,6,5,Money Heist: Korea - Joint Economic Area,Season 1
20221218,TW,81664158,81517188,tv,7,1,Alchemy of Souls,Part 2
20221218,TW,81633700,81633699,tv,8,9,Love Like the Galaxy,Season 1
20221218,TW,81639912,81639911,tv,9,11,Hi! Come in,Season 1
20221218,TW,81517189,81517188,tv,10,15,Alchemy of Souls,Part 1
